lambda_um,ref,tran,emit,abs_silicon,emit_atm,ref_norm,emit_norm,abs_silicon_norm
16.097477,0.18552014,-2.7755576e-17,0.81447986,0.14991926,0.98589701,0.18552014,0.81447986,0.14991926
16.117187,0.18456329,0,0.81543671,0.15213778,0.98936005,0.18456329,0.81543671,0.15213778
16.136897,0.1837414,5.5511151e-17,0.8162586,0.15407328,0.94136621,0.1837414,0.8162586,0.15407328
16.156607,0.1829195,-2.7755576e-17,0.8170805,0.15600877,0.95172232,0.1829195,0.8170805,0.15600877
16.176316,0.18209761,-5.5511151e-17,0.81790239,0.15794426,0.99999972,0.18209761,0.81790239,0.15794426
16.196026,0.18127571,0,0.81872429,0.15987976,1,0.18127571,0.81872429,0.15987976
16.215736,0.18073234,0,0.81926766,0.16114963,1,0.18073234,0.81926766,0.16114963
16.235445,0.18025931,5.5511151e-17,0.81974069,0.1622514,1,0.18025931,0.81974069,0.1622514
16.255155,0.17978628,0,0.82021372,0.16335317,0.94596965,0.17978628,0.82021372,0.16335317
16.274865,0.17931324,-2.7755576e-17,0.82068676,0.16445495,0.91843727,0.17931324,0.82068676,0.16445495
16.294575,0.17884021,2.7755576e-17,0.82115979,0.16555672,0.82479603,0.17884021,0.82115979,0.16555672
16.314284,0.17829576,5.5511151e-17,0.82170424,0.16674705,0.99978778,0.17829576,0.82170424,0.16674705
16.333994,0.17772417,8.3266727e-17,0.82227583,0.16797103,0.85235853,0.17772417,0.82227583,0.16797103
16.353704,0.17715259,-2.7755576e-17,0.82284741,0.169195,0.81022559,0.17715259,0.82284741,0.169195
16.373413,0.17658101,-2.7755576e-17,0.82341899,0.17041897,0.92473629,0.17658101,0.82341899,0.17041897
16.393123,0.17600943,0,0.82399057,0.17164295,0.71933357,0.17600943,0.82399057,0.17164295
16.412833,0.17514141,0,0.82485859,0.17359069,0.97927394,0.17514141,0.82485859,0.17359069
16.432543,0.17411453,-5.5511151e-17,0.82588547,0.17592629,0.71586321,0.17411453,0.82588547,0.17592629
16.452252,0.17308766,-5.5511151e-17,0.82691234,0.17826189,0.99900622,0.17308766,0.82691234,0.17826189
16.471962,0.17206078,-5.5511151e-17,0.82793922,0.18059749,0.69171683,0.17206078,0.82793922,0.18059749
16.491672,0.17103391,2.7755576e-17,0.82896609,0.18293309,0.99476184,0.17103391,0.82896609,0.18293309
16.511381,0.1723755,0,0.8276245,0.18014138,0.81786047,0.1723755,0.8276245,0.18014138
16.531091,0.17545021,-5.5511151e-17,0.82454979,0.17359776,0.94010934,0.17545021,0.82454979,0.17359776
16.550801,0.17852492,0,0.82147508,0.16705413,0.95128989,0.17852492,0.82147508,0.16705413
16.570511,0.18159964,5.5511151e-17,0.81840036,0.16051051,0.78695407,0.18159964,0.81840036,0.16051051
16.59022,0.18467435,0,0.81532565,0.15396689,0.80705698,0.18467435,0.81532565,0.15396689
16.60993,0.1875743,0,0.8124257,0.14772215,0.68720755,0.1875743,0.8124257,0.14772215
16.62964,0.19030213,2.7755576e-17,0.80969787,0.14177179,0.92243583,0.19030213,0.80969787,0.14177179
16.649349,0.19302995,5.5511151e-17,0.80697005,0.13582143,0.85747452,0.19302995,0.80697005,0.13582143
16.669059,0.19575777,5.5511151e-17,0.80424223,0.12987107,0.99939545,0.19575777,0.80424223,0.12987107
16.688769,0.1984856,-2.7755576e-17,0.8015144,0.12392071,0.68696035,0.1984856,0.8015144,0.12392071
16.708478,0.20061399,2.7755576e-17,0.79938601,0.1193269,0.9750193,0.20061399,0.79938601,0.1193269
16.728188,0.20194834,2.7755576e-17,0.79805166,0.1165301,0.74693242,0.20194834,0.79805166,0.1165301
16.747898,0.20328269,5.5511151e-17,0.79671731,0.11373329,0.99330213,0.20328269,0.79671731,0.11373329
16.767608,0.20461704,8.3266727e-17,0.79538296,0.11093648,0.9114682,0.20461704,0.79538296,0.11093648
16.787317,0.20595138,8.3266727e-17,0.79404862,0.10813967,0.84231857,0.20595138,0.79404862,0.10813967
16.807027,0.20727519,2.7755576e-17,0.79272481,0.10531237,0.99999993,0.20727519,0.79272481,0.10531237
16.826737,0.20857997,8.3266727e-17,0.79142003,0.10243002,0.84526274,0.20857997,0.79142003,0.10243002
16.846446,0.20988475,0,0.79011525,0.099547672,0.98559618,0.20988475,0.79011525,0.099547672
16.866156,0.21118954,5.5511151e-17,0.78881046,0.096665324,0.92229047,0.21118954,0.78881046,0.096665324
16.885866,0.21249432,0,0.78750568,0.093782976,0.99999878,0.21249432,0.78750568,0.093782976
16.905576,0.21368592,0,0.78631408,0.09120879,1,0.21368592,0.78631408,0.09120879
16.925285,0.21459059,2.7755576e-17,0.78540941,0.089415798,0.95036743,0.21459059,0.78540941,0.089415798
16.944995,0.21549527,-2.7755576e-17,0.78450473,0.087622805,0.81088738,0.21549527,0.78450473,0.087622805
16.964705,0.21639995,-5.5511151e-17,0.78360005,0.085829813,0.92708478,0.21639995,0.78360005,0.085829813
16.984414,0.21730462,0,0.78269538,0.084036821,0.96815224,0.21730462,0.78269538,0.084036821
17.004124,0.2180864,2.7755576e-17,0.7819136,0.082502493,0.47943332,0.2180864,0.7819136,0.082502493
