lambda_um,n,k
8.724702,3.422136,6.826e-05
8.73957,3.422135,7.024e-05
8.754437,3.422135,7.222e-05
8.769305,3.422134,7.42e-05
8.784172,3.422133,7.618e-05
8.79904,3.422132,7.816e-05
8.813907,3.422131,8.014e-05
8.828774,3.42213,8.212e-05
8.843642,3.422129,8.41e-05
8.858509,3.422128,8.352e-05
8.873377,3.422127,8.104e-05
8.888244,3.422126,7.856e-05
8.903112,3.422125,8.534e-05
8.917979,3.422125,9.262e-05
8.932846,3.422097,9.804e-05
8.947714,3.421991,9.811e-05
8.962581,3.421885,9.818e-05
8.977449,3.42178,9.825e-05
8.992316,3.421674,9.833e-05
9.007184,3.421619,9.904e-05
9.022051,3.421618,9.454e-05
9.036918,3.421617,8.923e-05
9.051786,3.421616,8.392e-05
9.066653,3.421615,7.861e-05
9.081521,3.421614,7.329e-05
9.096388,3.421613,6.969e-05
9.111256,3.421612,6.908e-05
9.126123,3.421612,6.847e-05
9.14099,3.421611,6.786e-05
9.155858,3.42161,6.726e-05
9.170725,3.421609,6.665e-05
9.185593,3.421608,6.604e-05
9.20046,3.421607,6.544e-05
9.215328,3.421606,6.483e-05
9.230195,3.421605,6.423e-05
9.245063,3.421604,6.362e-05
9.25993,3.421603,6.301e-05
9.274797,3.421602,6.226e-05
9.289665,3.421601,6.151e-05
9.304532,3.4216,6.076e-05
9.3194,3.421599,6.002e-05
9.334267,3.421598,5.927e-05
9.349135,3.421597,5.852e-05
9.364002,3.421596,5.778e-05
9.378869,3.421595,5.703e-05
9.393737,3.421594,5.628e-05
9.408604,3.421593,5.554e-05
9.423472,3.421593,5.479e-05
9.438339,3.421592,5.427e-05
9.453207,3.421591,5.428e-05
9.468074,3.42159,5.43e-05
9.482941,3.421589,5.431e-05
9.497809,3.421588,5.433e-05
9.512676,3.421587,5.434e-05
9.527544,3.421586,5.435e-05
9.542411,3.421585,5.437e-05
9.557279,3.421584,5.439e-05
9.572146,3.421583,5.44e-05
9.587014,3.421582,5.442e-05
9.601881,3.421581,5.443e-05
9.616748,3.42158,5.457e-05
9.631616,3.421579,5.557e-05
9.646483,3.421578,5.657e-05
9.661351,3.421577,5.757e-05
9.676218,3.421576,5.858e-05
9.691086,3.421575,5.958e-05
9.705953,3.421574,6.059e-05
9.72082,3.421573,6.159e-05
9.735688,3.421572,6.259e-05
9.750555,3.421571,6.36e-05
9.765423,3.42157,6.46e-05
9.78029,3.421569,6.561e-05
9.795158,3.421568,6.662e-05
9.810025,3.421555,6.784e-05
9.824892,3.421523,6.938e-05
9.83976,3.421492,7.092e-05
9.854627,3.42146,7.247e-05
9.869495,3.421429,7.401e-05
9.884362,3.421398,7.555e-05
9.89923,3.421366,7.71e-05
9.914097,3.421335,7.864e-05
9.928964,3.421304,8.018e-05
9.943832,3.421272,8.173e-05
9.958699,3.421241,8.327e-05
9.973567,3.42121,8.482e-05
9.988434,3.421178,8.636e-05
10.003302,3.421154,8.827e-05
10.018169,3.421153,9.144e-05
10.033037,3.421152,9.46e-05
10.047904,3.421151,9.777e-05
